"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Matt Strahm","Padres","0","0","1.35","5","5","0","0","0","0","0","13.1","51","7","2","2","1","3","0","0","1","0","18","13799"
"Jacob deGrom","Mets","10","9","1.70","32","32","1","0","0","0","0","217.0","835","152","48","41","10","46","3","5","2","0","269","10954"
"Wilmer Font","Rays","2","1","1.71","5","5","0","0","0","0","0","21.0","82","12","4","4","1","8","0","0","0","0","18","5257"
"Blake Snell","Rays","21","5","1.89","31","31","0","0","0","0","0","180.2","700","112","41","38","16","64","2","1","13","0","221","13543"
"Hyun-Jin Ryu","Dodgers","7","3","1.97","15","15","0","0","0","0","0","82.1","324","68","23","18","9","15","1","1","0","0","89","14444"
"Clay Buchholz","Diamondbacks","7","2","2.01","16","16","1","0","0","0","0","98.1","393","80","25","22","9","22","1","3","1","0","81","3543"
"Chris Sale","Red Sox","12","4","2.11","27","27","0","0","0","0","0","158.0","617","102","39","37","11","34","0","14","4","0","237","10603"
"Trevor Bauer","Indians","12","6","2.26","27","27","0","0","0","0","0","171.1","703","132","51","43","9","57","2","9","12","0","219","12703"
"Walker Buehler","Dodgers","8","4","2.31","23","23","0","0","0","0","0","136.1","532","90","38","35","11","36","1","6","4","0","151","19374"
"Adalberto Mejia","Twins","2","0","2.33","4","4","0","0","0","0","0","19.1","82","16","5","5","1","9","0","2","2","0","9","13188"
"Joshua James","Astros","2","0","2.35","3","3","0","0","0","0","0","15.1","62","11","4","4","2","6","0","1","0","0","19","16794"
"Aaron Nola","Phillies","17","6","2.37","33","33","0","0","0","0","0","212.1","831","149","57","56","17","58","3","7","4","1","224","16149"
"Max Fried","Braves","1","2","2.49","5","5","0","0","0","0","0","21.2","90","15","7","6","0","14","0","2","2","0","27","13743"
"Justin Verlander","Astros","16","9","2.52","34","34","1","1","0","0","0","214.0","833","156","63","60","28","37","0","8","5","2","290","8700"
"Max Scherzer","Nationals","18","7","2.53","33","33","2","1","0","0","0","220.2","866","150","66","62","23","51","4","12","4","1","300","3137"
"Wade Miley","Brewers","5","2","2.57","16","16","0","0","0","0","0","80.2","338","71","28","23","3","27","1","5","1","0","50","8779"
"Framber Valdez","Astros","2","1","2.59","5","5","0","0","0","0","0","24.1","101","16","7","7","2","18","0","0","5","0","20","17295"
"Michael Lorenzen","Reds","1","1","2.63","3","3","0","0","0","0","0","13.2","58","15","5","4","1","5","0","1","0","0","5","14843"
"Diego Castillo","Rays","0","0","2.65","11","11","0","0","0","0","0","17.0","65","13","5","5","2","2","0","0","2","0","21","17496"
"Clayton Kershaw","Dodgers","9","5","2.73","26","26","0","0","0","0","0","161.1","650","139","55","49","17","29","0","2","10","0","155","2036"
"Daniel Poncedeleon","Cardinals","0","2","2.79","4","4","0","0","0","0","0","19.1","80","15","6","6","0","6","0","1","0","0","22","16110"
"Miles Mikolas","Cardinals","18","4","2.83","32","32","1","1","0","0","0","200.2","808","186","70","63","16","29","4","7","2","1","146","9803"
"Kyle Freeland","Rockies","17","7","2.85","33","33","0","0","0","0","0","202.1","844","182","64","64","17","70","2","6","2","0","173","16256"
"Mike Foltynewicz","Braves","13","10","2.85","31","31","2","1","0","0","0","183.0","744","130","65","58","17","68","3","6","7","2","202","10811"
"Gerrit Cole","Astros","15","5","2.88","32","32","1","1","0","0","0","200.1","799","143","68","64","19","64","0","7","9","0","276","13125"
